;Entite;Label;liste_contxt_gauche;liste_contxt_droit
42;Manot;LOC;erci, non, dit ;, l'homme de Cl
43;Tâche;LOC;"ois goutte. 
— ";, Manot, de tai
44;Manot;LOC;"tte. 
— Tâche, ";, de taire ta l
45;Tiens;LOC;"on de 1830. 
— ";, dit Manot, co
46;Manot;LOC;" 
— Tiens, dit ";, comme si un r
47;État;LOC;les rentiers d';. Allez, allez,
48;Cellier;LOC;utionnez-vous, ;, qu'elle me di
49;bras-le-corps;LOC;n la prenant à ;, je chercherai
50;Alger;LOC;erre-là dans l';, foi de Sylvai
51;Manot;LOC;"uet. 
Je dis à ";, comprenant se
52;irons politiquer;LOC;, ou bien nous ; dans une autre
53;Clarisse;LOC;"utre auberge. 
";, la fine mouch
54;Devise;LOC;"acun sait ça. 
";-t-on dans le v
55;Norine;LOC;sur la fille à ;" ! 
Pauvre jeun"
56;Cachez;LOC;"i un affront. 
";-vous habilemen
57;Saint-Brunelle;LOC;, fillettes de ;, s'il vous pla
58;Cachez;LOC;"votre enfant. 
";-vous habilemen
59;Cachez;LOC;"yez-en sûres. 
";-vous habilemen
60;Norine;LOC;"i. 
La fille à "; trouvait donc 
61;Norine;LOC;se entrer chez ;". 
Quand elle l"
62;Norine;LOC;en présence de ;, de Désirée et
63;Norine;LOC; mairesse, dit ;, flattée de l'
64;Norine;LOC;e, madame, dit ;, rendez-lui l'
65;Norine;LOC;pauvre vieille ; se jeta aux ge
66;Allons;LOC;" malgré elle. 
";, mes bonnes am
67;Norine;LOC;es livres chez ;, et le soir, q
68;Saint-Brunelle;LOC;outurière dans ;" ; pour rien du"
69;Morlincourt;LOC;orcé d'aller à ;. Assuré que si
70;Morlincourt;LOC;apothicaire de ;, qui vend hors
71;Saint-Brunelle;LOC;ux environs de ;". 
C'est triste"
72;Craintifs;LOC;"'affections ? 
";, le jour fatal
73;Morlinval;LOC;n, revenant de ;, ramassa quelq
74;Morlinval;LOC;u du berger de ; vient le consu
75;Saint-Brunelle;LOC;u sort cinq de ;". 
Sur les cinq"
76;Toinon;LOC; et le fieu de ;". 
J'irai à Mor"
77;Morlincourt;LOC;"non. 
J'irai à ";, et je ne sera
78;Norine;LOC;seul. D'abord, ;, Désirée, Jean
79;Norine;LOC; la seconde de ;" ; ensuite Toin"
80;Toinon;LOC;"rine ; ensuite ";, la petiote à 
81;Toinon;LOC;rd, le fieu de ;, sont appelés 
82;B;LOC;ommence par un ;, il faut que n
83;Morlinval;LOC;es, un fieu de ;, fou de conten
84;Toinon;LOC; et le fieu de ; arrivent bras 
85;Saint-Brunelle;LOC;s noces ! Tout ;" en serait ! 
A"
86;Saint-Brunelle;LOC;"
De la vallée, "; se présente à 
87;mitan-côte;LOC; se présente à ;" ; les maisons,"
88;couvent Brugnon;LOC; les ruines du ;. Aussi, soit c
89;Dizy;LOC;"nt au diable. 
"; l'avare calcul
90;Perpétue;LOC;t la petiote à ; ajoutaient qu'
91;Morlincourt;LOC; retournant de ;, elles avaient
92;Parlons;LOC;"guenardant. 
— "; peu et vite, d
93;Saint-Brunelle;LOC;s revenants de ;". 
— Accepté, c"
94;Dizy;LOC; trouvait là : ; l'usurier ! Di
95;Dizy;LOC;"izy l'avare ! 
"; le sans cœur !
96;Hommes-sans-Têtes;LOC; le chemin des ;" ; qu'on ne rab"
97;Poulains;LOC;ue, les fossés ;" ; et qu'à rése"
98;réserve des furolles;LOC;"ains ; et qu'à "; qui mènent les
99;Norine;LOC;"S NOCES. 
Chez ";, chez la grand
100;Norine;LOC;éré aller chez ;". 
Comme j'entr"
101;Rose;LOC;re d'école, la ;" et Norine ; ce"
102;Norine;LOC;le, la Rose et ;" ; ce qu'elle y"
103;Cellier;LOC; grand jamais, ;, on n'a pu voi
104;Norine;LOC; de la vieille ; en pleurs et d
105;Allez;LOC;"ure occasion. 
";, c'est un homm
106;Dizy;LOC; le pari, cria ;", combien ? 
— "
107;Dizy;LOC;"de la ravoir. 
"; bâillait pour 
108;Sens-tu;LOC;"an-Claude : 
— ";" comme moi ? 
—"
109;Norine;LOC;ude et puis de ;, s'approcha de
110;Tour;LOC;"re les fieux. 
"; à tour les uns
111;Norine;LOC;"le soir. 
Chez ";, on trouva mad
112;Rose;LOC;neur, entre la ; et le maître d
113;Cellier;LOC;"lanc. 
— Bien, ";, dit madame la
114;Norine;LOC;ant la fille à ; par la main, c
115;Rose;LOC;le embrassa la ;, le gars Denis
116;Norine;LOC;lleuse fille à ;, douce et comp
117;Paris;LOC;d ont été voir ;, la grande vil
118;Paris;LOC;"ar dire : 
— À "; qu'on fait si 
119;montagne blanche;LOC;s saules de la ;". 
— En ce cas-"
120;colonne Vendôme;LOC;"
— As-tu vu la "; ? demanda Mano
121;Paris;LOC;le des gens de ; est-elle mieux
122;Clarisse;LOC;e, elle l'est, ;". 
— As-tu vu l"
123;Palais-Royal;LOC;"
— As-tu vu le "; et les bouleva
124;Morlincourt;LOC;ns les rues de ; le jour du tir
125;Palais-Royal;LOC;u me parles du ; ? J'y ai vu be
126;Morlincourt;LOC; que celles de ;. M'est avis qu
127;Paris;LOC;leurs, de dire ; pour rien. Mai
128;Parisien;LOC;rue, je dis au ;" : 
— À mon idé"
129;Parisiens;LOC;it prouver aux ; qu'on n'est pa
130;MOISSON;LOC;"rade ! 
XI 
LA ";". 
Les blés son"
131;la France;LOC;ne pas aller à ; [11] , je me s
132;la France;LOC;"tant de mal à 
";" ! 
Ah ! pour c"
133;Morlincourt;LOC; Morlinval, de ; et des environ
134;la France;LOC;ux moissons de ;". 
Les fermiers"
135;la France;LOC;tier d'aller à ; : faut faire à
136;Est;LOC;lutôt quitte ! ;-ce qu'on a le 
137;la France;LOC;illeurs sont à ;". 
Reviendront-"
138;Reviendront;LOC;" à la France. 
";-ils vivants ? 
139;la France;LOC;es deux sont à ;. S'il pleut, l
140;franciers;LOC; du retour des ; [12] , et c'es
141;Saint-Brunelle;LOC;épidémie est à ;" ! 
— Qu'une bo"
142;Cellier;LOC;, ça sera moi, ;, que je répond
143;Morlincourt;LOC;"ude. 
Arrivé à ";, devant la por
144;franciers;LOC; la pierre aux ;". 
À l'aventure"
145;M;LOC;"t se décider. 
"; me Céran est l
146;Céran;LOC;"décider. 
M me "; est là, tant m
147;Saint-Brunelle;LOC;out de suite à ;, les Franciers
148;Franciers;LOC;-Brunelle, les ; sont arrivés a
149;Céran;LOC;it passé. M me ; a beau s'esqui
150;Céran;LOC;ter : Monsieur ;", calme-toi ; M"
151;Rose;LOC;mairesse, à la ;, à moi-même, d
152;Saint-Brunelle;LOC;est plus là le ;" des noces ; ri"
153;Rose;LOC;mairesse et la ; ont servi de g
154;Paris;LOC;is en voyage à ;, de crainte d'
155;Saint-Brunelle;LOC;ois, même dans ;, on se détourn
156;Las;LOC;emet sur pied. ;" ! 
pour les fr"
157;Saint-Brunelle;LOC;l n'est mort à ; que le père Ro
158;Vénus;LOC; sorcellerie : ;, Bérénice, Cas
159;Bérénice;LOC;lerie : Vénus, ;", Cassiopée ! 
"
160;du Nord;LOC;chemins de fer ;". 
« Messieurs,"
161;Parisien;LOC;e plaisir tout ; connaît les be
162;Paris;LOC;rovincial a vu ;. Rien de mieux
163;du Nord;LOC; les faucheurs ;, belges, picar
164;la France;LOC;s le centre de ;" ; les pauvres "
165;du Nord;LOC;qui descendent ; à l'époque de 
166;la France;LOC;r pour aller à ; que le père Ro
167;Paris;LOC;e son voyage à ;, c'est ça qui 
168;Saint-Brunelle;LOC;int de doute à ;" ! 
PRIÈRE ET S"
169;Paris;LOC;on voyage dans ;, nous en serio
170;SOUHAITS;LOC;"nt facilités. 
";". 
Premièrement"
