;Entite;Label;liste_contxt_gauche;liste_contxt_droit
34;Norine;LOC;"ot
Le frere de "; repassant dans
35;Ouvrezl;LOC;"nge en
criant: "; et votre beau-
36;"Fa-
vette";LOC;z le berger de ;, sa femme etai
37;Allons;LOC;"de mi-
sres.
- "; donc elle n'ar
38;CG';LOC;"e pas  bien.
- ";est vrai, dit M
39;Paris;LOC;nourrissous de ; et les y remen
40;MI;LOC;"Jean-Claude et
";. Ceran devisen
41;Ceran;LOC;"-Claude et
MI. "; devisent, faut
42;Brlee;LOC;randes routes. ;" de
tout un c0t"
43;peul lille;LOC;ge pas pour si ;" morali-
sait l"
44;carrieres;LOC;onta jusqu'aux ;", reprit la
fuy"
45;emotionnee;LOC;"t,
la petiote, "; de fond en com
46;chemindes;LOC;de ramoner les ;". On voit
venir"
47;gne;LOC;" elle l'a soi-
";, gueri. Le gar
48;parigole;LOC;-il pas que la ;" et
le Savoyard"
49;Savoyard;LOC;"parigole et
le "; seraient bien 
50;A;LOC;"re bien avise.
"; ce propos-la, 
51;A;LOC;" VILLAGE.
---- ";"
l'annee passee"
52;Saint-Brunelle;LOC;"z
que l'eau de "; est nuisible. 
53;Norine;LOC;"r
la maison de ";. La Rose etait
54;ft-cel le cher brave;LOC;"
tendre. MIais ";" homme l
si je "
55;Allez;LOC;"aupauvre monde
";, alle ilne vou
56;Rose;LOC;"ut de
mdme, la ";" a bien pti.
Je"
57;veillee.1;LOC;"nier
soir,  la ";".

MON VILLAGE."
58;Saint-Brunelle;LOC;"es
des gens de ";".
J'irai  ce se"
59;beni;LOC;ur, ce buis-l, ;, sera pendu au
60;gencral;LOC;s desastres en ;".
Mais chut l j"
61;MON VILLAGE;LOC;"in opprohrium.
";".

a Ccs parole"
62;Riez;LOC;six mille ans. ;" donc a
present"
63;"Saint-
Brunelle";LOC;l huguenots de ;" l on
Aux bjitt"
64;Aux bjittl;LOC;"
Brunelle l on
"; de monsieur le
65;MON VI1LLAGE;LOC;"se,1
5-
7.'LLg
";".
ni aux vepres"
66;A;LOC;"
ee
9
;¬5

. ;
";" 
,2 1
F
a.,. 
"
67;F;LOC;"5

. ;
A 
,2 1
";"
a.,. 
 .
, 
i
"
68;P;LOC;".¬
S¬ 
..
aT¬ 
";"

’ 
s
,  
.¬
 "
69;¬2¬;LOC;"
i. .
a ¬
-s .
";"

  ’i.
4.
, E’"
70;E’;LOC;"2¬

  ’i.
4.
, ";"sgee3’
 i
2  e."
71;F;LOC;"A
 S
diS
 ed-e
";" 4!
a-a s
.
 A "
72;E;LOC;"
-E-e
2.
. 4- 
";"  a..
¬ 
e.
.
."
73;AL;LOC;"
ie g,eee--eee
";".
-
S rpe Mi..
"
74;"E E e
 ";LOC;" LeV
S a-
3 -e
";"au  
dee tepe e"
75;S2-;LOC;"e pe e’irer;
 
";" ’e?
e 5
e
-3 
"
76;E;LOC;"ae
:
2 
 ¬

  
";"   rDbee!
e¬.
L"
77;F3¬;LOC;"’ae eeV?
..
e¬
";"
e¬
ee e ele e "
78;S-;LOC;"
ee ier¬
z .
 ’";"
. 
’S
 ae el e"
79;e-E;LOC;" a eee lſ
e¬
S ";"
 ¬
S.2
-e
¬ .,"
80;pe-’i r 5;LOC;" ſe edliets
ce
";"
e-
2 ¬

,
 Le."
81;A;LOC;"i
..
e er. Ae.
";" ſ’-t¬
 e¬
  en"
82;"Ee-E
S-";LOC;"re ae u eterie
";"
 ree- S¬ :
’e "
83;AL;LOC;"-ds
L
pe ,
ee 
";" 
3 ée

ie e ad"
84;E;LOC;"re3
’ee ’e 
ee ";"  e’ 
S’ree e  "
85;E;LOC;"ele eeS
eeu.
 
"; eaeeou r eſ  r
86;S-;LOC;"
e-esn S2
.
ee ";"
e y le ſeeiSi "
87;E;LOC;"e
, ¬
 sipne 
 ";"
. S V
r¬
e ’j¬"
88;.l;LOC;"e a et ieea,
 
";"
 oie lri e  ae"
89;S-e ’;LOC;"s f ?
ee

1ev: ";"e3
ri i r ſ  li"
90;E;LOC;"’- t 
’’e e
 ¬
";"
Veeree3
e
e ¬
"
91;Veeree3;LOC;" t 
’’e e
 ¬
E
";"
e
e ¬
L He 
 E"
92;leeH;LOC;"elie eoeeiſlas
";":
ev-P
c  es, 
"
93;ev-P;LOC;"oeeiſlas
leeH:
";"
c  es, 
Etr et"
94;P;LOC;" 
Etr eto 
ert
";"  v ee p¬
 ete "
95;A;LOC;" 
-g¬
.
ee  r,
";" -.4
e.
s4
 ¬
e"
96;Voee;LOC;"e!
, 
e e e a  ";" , el’
e e
i 
 "
97;I;LOC;"e l eeidee
,
¬
";" erreet
i lir e"
98;eiee;LOC;s ee doi ee de ;"
’re
  o   t r "
99;Eeevirr;LOC;"’
.
a’¬.
 a 7.
";":
ie’ ’ asl ’e "
100;Ee;LOC;" lr
ieedtt
 ¬

";" -¬
v.
. ’e f
l"
101;E;LOC;"ei 
  e¬:
   
 ";"
1 

2 d- 5
e
e"
102;Eeil;LOC;"
 i
’.
-i

ap.
"; s eeſeieeu  ſp
103;Floes;LOC;"e ds leeſe rei
";" eer-
I.
.
 ¬
E"
104;E;LOC;"e rren
 -i;
e. ";"
oe e e e ia ſe"
105;Ca;LOC;" ee  eaoee
 S¬
";"
 ¬
lrdle e e e"
106;ile idle e eo  lſeie;LOC;"es
jrei
ere et "; eier ſe ieeres
107;S;LOC;" r  e
 E
-e  .
";":Lãdi
le dlte i"
108;Lãdi;LOC;"  e
 E
-e  .
S:";"
le dlte ie ea
"
109;"Peeis
2i";LOC;"ee ee ce l e ſ
";"
a
...
e ere e "
110;"Fee e   da  ei ſieiſieet
i
Le
 
e e eeoid is ee e";LOC;"¬s
es-e ee rr 
";" a  e i ioi
AEe"
111;V1LLAGE;LOC;"a1
1
3.
88
MON ";".
flatte le pau"
112;Ftt;LOC;"ne pie borgne.
";-ce si mon bava
113;prechez;LOC;sieur le cure, ;" les bonnets
bl"
114;MN;LOC;"--AmmniLr-----
";" WILLAGE.
notre"
115;Perpetue;LOC;le, lapetiote  ;, Jeacquet le m
116;"Saint-
Brunelle";LOC; cabaretire de ;, est une petio
117;vILLAGE;LOC;e la salle:MON ;".
- He? lurot, "
118;Tache;LOC;"ois goutte.
-- ";, Manot, de tai
119;Manot;LOC;"tte.
-- Tache, ";, de taire ta l
120;Manot;LOC;".
- Tiens, dit ";, comme si un r
121;tournee;LOC;gere habile et ; comme toi, Cla
122;Ca;LOC;"ircissement.
- "; n'empeche, dit
123;V1LLAGE;LOC;"ere, dalW-
MON ";".
- Bah 1 bahl "
124;etais;LOC;"a porte si
j'y ";".
L]MADAMIE LA "
125;Ir;LOC;"7    C
’Ze .
 
";"
 ¬
ee.
e.  ’e."
126;I;LOC;"omſ¬
 ete
 
2  ";" ,
ue 

5
 -e a"
127;Aee;LOC;" ¬
et
,e,
:
ſe ";"
e 5 ,¬
a¬
2¬
e"
128;E;LOC;"
’2
 ¬
. 
ee!,
";"
.
 Sr

Ee  e e"
129;¬1;LOC;"?
3 
.’8
..
 .
";"
l e eese e e

"
130;Sbi;LOC;" 1
  

   
eee ";"; e¬?
 , ¬

Ler"
131;VT ZA;LOC;"
3. .
 ..
t ’ 
";" .
ep,
..
e.
ea"
132;"¬ ¬1
aai";LOC;"u o i e  ie
 5
";"
e
a
r e.

21
e"
133;E;LOC;" a e
 u-erP¬
 
";" n
S ¬
t eS-o
e"
134;ue5 i;LOC;"ir-  p&
 .¬
 l
";"  au
e e ers ed"
135;SA’5;LOC;"e
. ’ -a3
 
 l
";",
a  ¬
S  e ee "
136;e-E;LOC;"eei¬
ei  ire ’ ";" ¬
 ee a
e-  ee"
137;"e’v ’
edeee e S e";LOC;" agi
2 
 e
. . "; de l e aA iſ e
138;E;LOC;" uei l ees  
e
";", ee  er8
- 9’
"
139;el oe e eie;LOC;"L L enrsi
e le ";" eie er eeieie
"
140;E;LOC;" ee 43.
  -e
e
";", 
   
 
ie ts
"
141;eiee;LOC;" 1
 ei
.. a
e  ";"
. ea e.E!
, 
-"
142;E e’e’;LOC;"e.E!
, 
-
-a 1
";"et
  
sSt  ee e"
143;e-ue;LOC;"T’a  a
¬
-5¬
e,";"
 e erdelet
m 
"
144;Ee;LOC;"e   ,  
t S-e,
";"
eree e iee eee"
145;Av;LOC;"eeise&
 u a
  
";"..
  S. : .r 3
"
146;.6;LOC;" S. : .r 3
¬ 
 ";". ..
rt ’p ſoe "
147;"aC ue-ae
leie e e eie e le e i";LOC;"
 e-,  r, .  
’";" ii¬
 ee t 3
o,"
148;Ie’;LOC;"aee ei le edie
";"e r e’́ ee Es 
"
149;"Es 

2é";LOC;"
Ie’e r e’́ ee ";" .
 ’, ’a.
  .."
150;Cee;LOC;"le erd ee reei
";".J
 a
Enri
1
a,"
151;Ee;LOC;"Enri
1
a,
ei l ";"  sle i
¬..e 
E"
152;E-;LOC;"e  sle i
¬..e 
";"
.
e--e4?
aaE
e"
153;EFc;LOC;" 
¬S.
̀ 
 o es ";"
eteei
 eie
 as"
154;"Fi

1";LOC;"e lere rpſe ie
";"
 y
Ele leeerei"
155;Aa;LOC;".io 
e.-¬ſ.
e2
";" 
ee¬
e ee
’e 
"
156;MIAIRESSE;LOC;"v1
MA D AME LA ";".
Gaspard train"
157;champetre;LOC;"2
MON VILLAGE.
";, le gouverneme
158;Devise;LOC;"hacun sait
ca.
";-t-on dans le v
159;Norinel;LOC;"sur la fille h
";"
Pauvre jeuness"
160;Cachez;LOC;"ni un affront.
";-vous habilemen
161;Cachez;LOC;" votre enfant.
";-vous habilemen
162;compagnes,-;LOC;n plus sur vos ;".
10
MON VILLAG"
163;Cachez;LOC;"soyez-en sres.
";-vous habilemen
164;Norine;LOC;"uni.
La fille  "; trouvait donc 
165;MO;LOC;"s as-
Ll
rl.
l
";" vILLAGE.
1035
"
166;Norine;LOC;se entrer chez ;".
Quand elle l'"
167;Rose;LOC; l'apercut, la ;", se figurant
q"
168;L-1;LOC;"-----------.LL
";"
I
1
MoN v1LLAG"
169;I;LOC;"-------.LL
L-1
";"
1
MoN v1LLAGE."
170;Norine;LOC;en presence de ;", de Desiree
et"
171;couragement;LOC;"e de votre de-
";".
- Ohl madame "
172;Norine;LOC; mairesse, dit ;",
flatte de l'i"
173;Norine;LOC;e, madame, dit ;", rendez-
lui l"
174;Norine;LOC;pauvre vieille ; se jeta aux ge
175;Norine;LOC;es livres chez ;, et le soir, q
176;Arman-;LOC;ps, pendant qu';"
dinc, Dsiree e"
177;Morlincourt;LOC;apothicaire de ;",
qui vend hors"
178;Saint-Brunelle;LOC;ux environs de ;".
C'est triste,"
179;gemit;LOC;proche, chacun ; par prevoyance
180;Craintifs;LOC;"t
d'affections
";, le jour fatal
181;Sainl-Brunclle;LOC;"u sort cinq
de ";. Sur les cinq 
182;Toinon;LOC; et le fieu de ;".
J'irai h Mlor"
183;Norine;LOC;seul. D'abord, ;, Desiree, Jean
184;Norine;LOC;la seconde de' ;"; ensuite Toino"
185;Toinon;LOC;"orine; ensuite ";", la
petiote  P"
186;Toinon;LOC;rd, le fieu de ;, sont appeles 
187;B;LOC;ommence par un ;, il faut que n
188;Morlinval;LOC;es, un fieu de ;",
fou de conten"
189;nu-;LOC; la mairie, le ;"
mero cent cinq"
190;Toinon;LOC; et le fieu de ;" arrivent bras
"
191;Allons;LOC;" s'embrassent.
";, allons: un ch
192;Saint-Brunelle;LOC;"s noces l Tout
";" en seraitl
Ahl"
193;REVENANT3-;LOC;ne calamite.UN ;"
N1II
UN EVENAN"
194;N1II;LOC;".UN REVENANT3-
";"
UN EVENANT.
Il"
195;entrcr;LOC;traverser pour ;" dans
notre cim"
196;pre Brugnon;LOC;o se trouve le ;, il ecst bon q
197;lage.-;LOC;"ace notre vil-
";"..-
130
MON VIL"
198;Saint-Brunelle;LOC;"
De la vallee, ";" se presente h
"
199;pre Brugnon;LOC;"t par ainsi
le ";, se trouvent, 
200;pre Brugnon;LOC;tiere, dans le ;".
Depuis que le"
201;pre Brugnon;LOC;" nuit,
dans le ";, un grandissim
202;A32;LOC;"--c-rr------
. ";"
MON VILLAGE.
D"
203;Dizy;LOC;"2
MON VILLAGE.
"; l'avare calcul
204;Perpetue;LOC;"et la petiote 
"; ajoutaient qu'
205;Morlincourt;LOC;" retournant
de ";, elles avaient
206;VILILAGE;LOC;"anser sur-
MON ";".
33
les murs d"
207;cimetiere;LOC;"33
les murs du ";, ct qu'elles s
208;Jugezl;LOC;"s de l'esprit.
"; ca se mit  hur
209;MO N VILLAGE;LOC;"
somme 1
.
136
";".
- Parle l rep"
210;Dizy;LOC;"e trouvait
l : "; l'usurierl Diz
211;servia;LOC;ose, elle aura ; quelque chose.
212;V1LLAGE;LOC;" chose.140
MON ";".
J'opine qu'au"
213;Poulains;LOC;"ue, les fosses
";" ; et qu'h rese"
214;me-;LOC;s furolles qui ;"
nent les ivrog"
215;Norine;LOC;"ES NOCES.
Chez ";, chez la grand
216;Norine;LOC;ere aller chez ;".
Comme j'entra"
217;Rose;LOC;tre d'cole, la ;"
et Norine ; ce"
218;Norine;LOC;"le, la Rose
et ";" ; ce qu'elle y"
219;Norine;LOC; de la vieille ;" en pleurs et
d"
220;Pas dcja;LOC;"e vaux si peul
";" si pcu.
Lamari"
221;A;LOC;"tre  l'eglise.
"; cette heure, l
222;cctte ceremonie;LOC; d'aujourd'hui ;"-la
se passe a "
223;precher;LOC;" notre cure
de "; longtemps les 
224;cn;LOC;"E.
(51
et dit, "; montrant l'ouv
225;Dizy;LOC; le pari, cria ;", combien?
- Di"
226;Dizy;LOC;"
de la ravoir.
"; baillait pour 
227;plaga;LOC;mi-franc ct le ;"
dans la main d"
228;Mlais;LOC;"gouailla Dizy.
";, pas moins, no
229;maric;LOC;ssez devant le ;", il yous faut
"
230;T1I;LOC;"larisse
Manot.
";"
yON VILLAGE.
5"
231;Clarisse;LOC;"ller les murs.
";" a du gout; c'e"
232;mele;LOC;"ue; je ne m'en ";" de sit0t; on y"
233;Norine;LOC;"ude
et puis de ";, s'approcha de
234;Norine;LOC;" le soir.
Chez ";, on trouva mad
235;Roseet;LOC;ncur, entre la ; le maitre d'ec
236;forcdes;LOC;"res,
surs sont "; d'aller aux ch
237;Rosc;LOC;"vee : c'est la
";. lPendant que 
238;Woyons;LOC;"s nourrissons.
";, mes bons amis
239;Norine;LOC;nant la fille  ; par la main, c
240;YILLAGE;LOC;" leurs1(62
MON ";".
chapcaux se d"
241;Norine;LOC;" la mre Denis,
";, Jean-Claude, 
242;Presentement;LOC;"r les
graines.
";, nous coupons 
243;accouchce;LOC;"e.
La Rose est "; d'une petiote 
244;Norine;LOC;illeuse fille  ;", douce et
comp"
245;rIIImne;LOC;n--LL LLL 7a r ;--aI0N vILLAGE.
246;Paris;LOC;d ont ete voir ;", la
grande vil"
247;Ca;LOC;"
grande ville. "; leur a coute p
248;Mlais;LOC; de questions. ; on n'a jamais 
249;montagne blanche;LOC;"s saules
de la ";".
- En ce cas-l"
250;Manot;LOC;"end0me demanda
";. Est-elle fort
251;Paris;LOC;le des gens de ;" est-
elle mieu"
252;decoree;LOC;derision. Pour ;", elle l'est,
C"
253;Clarisse;LOC;"e, elle l'est,
";".
- As-tu vu le"
254;Palais-Royal;LOC;"
- As-tu vu le ";" et les boule-
"
255;Mlorlincourt;LOC;"ns les rues de
"; le jour dutira
256;butiues;LOC; vu beeusee de ;" de bee-
[l cou"
257;Paris;LOC;lcurs, de dire ; pour ricn. MIa
258;- Quoil;LOC;"7
MON VILLAGE.
"; un malin comme
259;commencais;LOC;boutique-l, je ;" a m'ahurir.
C'"
260;Parisien;LOC;rue, je dis au ;":
- A mon idce,"
261;Parisiens;LOC;it prouver aux ;" qu'on
n'est pa"
262;"camaradel1
LA M01SSONl";LOC; pre Roux, mon ;"
Ll MiOISS0N
Le"
263;lepi;LOC;l6s sont mnrs, ;, dit-on, grain
264;Les blcs;LOC;"er aux champs.
";" sont mtrs.
Ale"
265;rendez-yous;LOC;"
accourront au ";".
Assis sur les"
266;la France;LOC; ne pas aller  ;"', je
me suis e"
267;la France;LOC;"a tant de
mal  ";" l
Ah l pour ce"
268;Morlincourt;LOC; Morlinval, de ;" et des
environ"
269;vILLAk;LOC;"u dire.
--P
io ";".
it3
Jean-laud"
270;Fance;LOC;"moissols
de la ";".
Les fermiers "
271;France;LOC;"r d'aller h la
"; : faut faire  
272;Est;LOC; plutot quitte ;"-ce qu'on
a le "
273;la France;LOC;eilleurs sont  ;. lReviendront-
274;OY;LOC;"u qu'ils ne186
";" VILLAGE.
ous r"
275;la France;LOC;les deux sont  ;".
S'il pleut, l"
276;"placel -
Courons";LOC; - ils- Sur la ; les embrasserl
277;la France;LOC;eurs qui ont a ;".MON VILLAGE.
1"
278;me-;LOC;le chercher le ;"
decin, redit J"
279;MI;LOC;"
ma commissio.
";. Ceran va enco
280;Ceran;LOC;"commissio.
MI. "; va encore se m
281;franciers;LOC; la pierre aux ;".
t
A l'aventur"
282;.M Cran;LOC;"
MI0N VILLAGE.
"; est l, tant mi
283;Saint-Brunelle;LOC;out de suite h ;", les Fran-
cie"
284;Fran-;LOC;-Brunelle, les ;"
ciers sont arr"
285;Ceran;LOC; soit passe. M ;" a beau
s'esqui"
286;ILLAGE;LOC;"an
1
-+rI

MON ";".
193
- C'est v"
287;"je1
-

MON VILLAGE";LOC;es  la mairie, ;".
19t
les suis "
288;Saint-Brunelle;LOC;'est plus l le ;" des noces;
ric"
289;Rose;LOC;mairesse et la ;" ont servi
le g"
290;Paris;LOC;"is en
voyage h ";, de crainte d'
291;Saint-Brunelle;LOC;ois, meme dans ;", on
se detourn"
292;A;LOC;"s
cette annce.
"; la fin des fin
293;Lasl;LOC;emct sur pied. ; pour les franc
294;franciers;LOC; Lasl pour les ;", il ne
restera"
295;M';LOC;"ans l'armoire.
";est avis que qu
296;Voilh;LOC;"a Jean-Claude.
"; ce que la peti
297;du Nord;LOC;"emins
a de fer ";".
a Messieurs,
"
298;Paris;LOC;rovincial a vu ;". Rien de
a mie"
299;A;LOC;"ga-
a niser 
a "; l'epoque de la
300;du Nord;LOC;"es faucheurs
a ";, belges, picar
301;Nord;LOC;"escendeht du
a "; a l'epoque de 
302;la France;LOC;"r pour
aller h "; que le pere Ro
303;Paris;LOC;e son voyage i ;, c'est ca qui 
304;Paris;LOC;"on
voyage dans ";, nous en serio
305;Premierement;LOC;"E.
s0UII AITS.
";, je vous souha
306;dessusAotyde-;LOC;ulages, et, lh-;"
E.:c
fuble mon"
